Q3E840	A0A087WPF7
P36144	A0A0G2JEY4
Q07748	A0A1W2P8C4
P25364	A0A286YD08
P0CX90	A0A2I3BRY0
P39548	A1L358
Q08601	A2A432
P47089	A2A4P0
P38292	A2A559
P53872	A2A5R2
Q3E7B0	A2A5Z6
Q08446	A2A690
Q03723	A2A6A1
P39994	A2A6M5
P53959	A2A791
P33734	A2A863
P13099	A2A870
P33894	A2A8L1
P53829	A2A8L5
P40583	A2A8Z1
P18408	A2A9C3
Q02891	A2A9T0
Q07540	A2AAE1
Q05776	A2ABU4
P40459	A2ABV5
Q08748	A2ADY9
P17442	A2AF47
P53058	A2AG06
Q03483	A2AGL3
P38915	A2AGT5
P33412	A2AHC3
Q3E784	A2AHG0
P42838	A2AHJ4
P41808	A2AHL1
Q12093	A2AI05
Q08409	A2AIE7
P48837	A2AIV2
P25583	A2AJ88
Q04749	A2AJI0
Q12221	A2AJK6
P38339	A2AKQ8
P23900	A2AKX3
Q08054	A2AKY4
Q03362	A2AL36
P38276	A2ALK8
P40156	A2ALS5
P38228	A2ALU4
P53747	A2AM29
P32447	A2AN08
Q8TGJ2	A2ANN7
P48240	A2APF3
P49089	A2APV2
Q04964	A2APX8
P38297	A2AQ07
P53897	A2AQ19
P40561	A2AQ25
Q12512	A2ARK0
Q96VH3	A2ARP1
P32363	A2ARV4
P19955	A2ASQ1
Q04409	A2ASS6
P05374	A2AUC9
P53438	A2AUM9
P39110	A2AWA9
P38968	A2AWL7
P25588	A2BE28
P15992	A2BH40
P36775	A2CG49
Q04053	A2CG63
Q03714	A2RRY8
P53343	A2RSJ4
P36024	A2RSQ0
P30777	A2RT62
P38179	A2RT67
P32830	A2RTF1
P53507	A2RTL5
P53178	A3KFM7
P50091	A3KGB4
P21595	A3KGF7
P89102	A3KGS3
P47142	A3KGV1
P33893	A3KGW5
P53128	A6H611
P40414	A6H6T1
P40892	A6H8H2
P07258	A6PWY4
Q3E815	A6X942
P43591	A7UAK8
P15700	B0V2N1
Q04216	B1AQ75
P20795	B1AUH1
P53871	B1AUR6
P40442	B1AVY7
P54838	B1AWL2
Q08975	B1AWN6
P31378	B1AX39
P39081	B1AY10
P12383	B1AZI6
Q08831	B1AZP2
P47014	B2RQA7
Q08162	B2RQE8
P52489	B2RQG2
P38352	B2RQR8
P43587	B2RR24
Q03784	B2RR83
P48363	B2RRE4
Q7LHD1	B2RRE7
P25569	B2RSH2
P47057	B2RU80
Q06680	B2RUJ5
P25694	B2RWS6
Q07804	B2RX14
P06783	B2RX88
Q03153	B2RXC5
P35176	B2RXS4
Q08548	B2RXT3
Q03856	B2RY04
P38120	B2RY56
P47045	B5KM66
P16151	B5TVM2
P37298	B7ZNG0
P89114	B7ZNG4
P47077	B9EJA2
P39684	B9EKI3
Q12438	B9EKR1
Q06325	B9EKX1
P38324	C0HKE6
P40087	D3YXK2
Q04839	D3YZP9
P53854	D3YZU1
P38290	D3Z2R5
P36112	D3Z3K2
P32841	D3Z4R1
P53208	D3Z4R4
P32472	D3Z750
P38224	D3Z7B1
P46959	D3Z7P3
Q03219	E0CXN7
P16523	E0CZ16
Q92317	E5FYH1
P35997	E9PUL5
P04821	E9PV24
Q04969	E9PVA8
P40570	E9PVB5
P30624	E9PVX6
Q3E842	E9PY14
P32657	E9PYI1
P32179	E9PZJ8
Q03212	E9PZM4
P32829	E9PZQ0
Q01766	E9Q1P8
P40056	E9Q1W3
P11353	E9Q286
P38011	E9Q2M9
Q07844	E9Q394
P35728	E9Q3L2
Q12262	E9Q401
P38428	E9Q414
Q03218	E9Q555
P43585	E9Q557
P40308	E9Q5F9
Q06568	E9Q5G3
Q06822	E9Q5Z5
Q07807	E9Q616
Q12486	E9Q634
Q12052	E9Q6A7
Q02786	E9Q6D6
P53133	E9Q6R7
P36009	E9Q6X9
Q12045	E9Q735
P43605	E9Q784
Q06677	E9Q7D5
Q12355	E9Q7F2
P39966	E9Q7G0
Q08553	E9Q8D0
P46999	E9Q8I9
P38065	E9Q9A9
P00635	E9Q9K5
P40506	E9QA62
P53304	E9QAE3
P40507	E9QAG8
P21825	E9QAM5
P53956	E9QAP7
P39709	E9QAT4
P53940	F6PZ19
P05756	F6SEU4
P19880	F6ZDS4
Q12193	F7B5B5
P38986	F7BJB9
P33303	F8VPU2
Q12036	F8VQN3
P35190	G3UYX5
Q12326	G3X939
Q08844	G3X9C2
Q06179	G3X9J0
Q12745	G3XA57
P40528	G5E829
P25568	G5E861
P27801	G5E870
P38820	G5E8K5
P47072	G5E8P0
Q04585	H3BL64
Q05164	I6L978
P07285	J3QMC5
P41921	O08528
P52918	O08529
Q12242	O08532
P53330	O08539
Q07653	O08547
P15731	O08550
P48836	O08553
P38180	O08573
P38736	O08579
P53219	O08580
P38882	O08583
P38985	O08585
P29311	O08586
Q07979	O08599
P34218	O08600
P43568	O08601
P40447	O08609
Q12427	O08638
Q08215	O08648
P49090	O08663
P42949	O08665
P43620	O08674
P53751	O08677
Q07921	O08686
P38310	O08688
P53838	O08710
P28495	O08738
P38750	O08739
Q2V2Q3	O08740
P39105	O08746
Q07914	O08747
P13393	O08749
P38716	O08756
P06168	O08759
P38960	O08760
P38604	O08762
P36168	O08784
Q12030	O08785
P33895	O08788
P42836	O08789
Q08931	O08791
Q06346	O08795
P40046	O08807
P38826	O08808
P40991	O08810
Q06078	O08848
P53285	O08849
Q08474	O08856
P53886	O08863
O94742	O08900
P40006	O08901
Q12369	O08908
Q03210	O08911
P40303	O08915
Q01589	O08917
P47075	O08966
Q02260	O08992
P00358	O09000
P39711	O09012
Q05919	O09039
Q07799	O09044
P40091	O09053
Q04031	O09061
P53057	O09100
P40585	O09105
P07251	O09106
P46969	O09107
P38790	O09110
Q96VH4	O09111
P32353	O09114
P17898	O09118
P39944	O09126
Q02784	O09127
P41939	O09158
Q03769	O09159
P13711	O09167
P07253	O35066
Q05568	O35082
P07236	O35083
P53009	O35084
P53159	O35099
Q12205	O35118
P14020	O35129
P38849	O35130
Q03430	O35134
Q08822	O35136
P38182	O35137
Q02950	O35143
P40581	O35144
P41695	O35173
P40532	O35174
P41902	O35177
P33749	O35218
Q08208	O35226
Q99189	O35227
P36149	O35245
P47058	O35253
P25639	O35280
P32565	O35286
P40059	O35295
Q03760	O35317
P53858	O35326
P40466	O35343
P35497	O35344
P32783	O35345
Q3E705	O35350
P38356	O35375
Q02046	O35379
P38174	O35381
P31373	O35382
P80210	O35405
Q02204	O35435
P25377	O35437
Q12068	O35450
P0CE96	O35451
P42222	O35453
P53090	O35454
P40562	O35459
Q3E756	O35464
P38884	O35465
Q12091	O35492
P36057	O35516
P26754	O35526
P01120	O35551
P25635	O35593
P38907	O35594
P16370	O35598
Q8TGK4	O35600
Q01519	O35604
P40359	O35607
P40533	O35609
P48353	O35613
P11747	O35615
P40451	O35618
P25719	O35625
P35192	O35626
P53035	O35627
P32656	O35638
