Q9W029	A0A087WUL8
Q9VFS1	A0A087WZ82
Q9VIF5	A0A0A0MSL8
Q8MZ13	A0A0B4J1V8
Q9I7T6	A0A0B4J274
A8DYY0	A0A0B4J2D5
O18413	A0A8I5KQE6
Q9VVJ7	A0AV96
Q27333	A0AVF1
Q9GQQ0	A0AVT1
A0A0B4KFD1	A0FGR8
Q9VMY1	A0JLT2
Q9VLF5	A0JNW5
Q8T4H3	A0JP26
Q7K4P0	A0MZ66
Q9VHV8	A0PJW6
Q9VJU1	A0PJX4
Q9VKQ3	A0PK00
Q7JXG2	A0PK05
Q9VML9	A0PK11
Q9VQB4	A1A5C7
Q9V4E1	A1KXE4
Q9VXW7	A1L0T0
Q9VPJ1	A1L188
Q9VSH7	A1L190
O46202	A1L390
Q9VWH2	A1L443
A1ZBR5	A1L4K1
Q9I7L9	A1X283
Q9VJ61	A2A3K4
Q9VUE1	A2A3N6
Q7K2Q5	A2RRP1
Q9VCU5	A2RTX5
O97063	A2RU14
Q9VRM7	A2RU67
Q59E13	A2VDJ0
O46034	A3KMH1
Q9VIQ5	A3KN83
Q4V5A3	A4D1E9
O61613	A4D1S0
P04412	A5A3E0
Q24298	A5D8V6
Q9VTN2	A5D8V7
Q9VJS6	A5PL33
Q9VKD8	A5YKK6
Q9W3M7	A6H8M9
Q4V5X5	A6NC98
Q8MRT2	A6NDY0
P37236	A6NED2
Q9VN18	A6NEK1
P45890	A6NEM1
Q9I7F7	A6NFI3
M9PGK9	A6NFQ2
Q9VE00	A6NHL2
Q86PF5	A6NHR9
Q9NB13	A6NI15
A1ZAR6	A6NIH7
Q9W3U1	A6NJ78
Q9VTH1	A6NK59
Q02870	A6NK89
Q9VMM7	A6NKD9
Q8IR73	A6NKT7
P04950	A6NLJ0
Q9VJ94	A6NLX3
Q9VRE0	A6NM10
P18932	A6NMY6
P25722	A7E2F4
Q9VKV9	A7E2V4
Q8INB5	A7E2Y1
Q9VE06	A7KAX9
Q9VBD5	A8CG34
Q9VYV3	A8K0Z3
Q9W1Q0	A8K2U0
A1ZBJ2	A8K8V0
Q7KVF3	A8MQ03
Q9VSJ6	A8MT33
Q9XYZ9	A8MTQ0
Q9VW68	A8MV65
Q7KN99	A8MVS5
Q86BH3	A8MVW0
Q9VMP4	A8MVW5
Q9VHB3	A8MW92
Q9VG21	A8MW99
P54185	A8MXV4
Q9VLL9	A8MZ59
A1Z7W1	A9UHW6
Q9VMK9	B1AH88
A0A0B4K6G0	B2RNN3
Q9W0Y2	B2RPK0
Q7K0W4	B2RTY4
Q9W2A0	B2RUY7
Q9VN73	B2RUZ4
F6JQ80	B2RXF5
Q9VGU7	B2RXH8
Q9VE12	B3EWF7
P32028	B5ME19
Q4V5V6	B7ZAP0
A1Z6W6	B7ZAQ6
Q9VFM3	B9A064
Q9VD26	C0HLS1
Q9VAT6	C0HLU2
P22816	E9PAV3
Q9VBT1	E9PS38
Q9VZR1	F7VJQ1
Q8INZ6	G2XKQ0
Q8INU9	H7C0V5
Q9VY68	I3L0A0
P49866	O00116
Q9W0S6	O00124
A8JNG7	O00139
Q9VRP3	O00141
M9PD87	O00148
Q9VWR5	O00151
A1ZB68	O00154
Q7K4I4	O00155
Q9VPS5	O00159
Q9VYB7	O00161
Q9VGH5	O00165
Q9VM12	O00167
Q7JRH5	O00170
Q4V6J9	O00178
Q7K0L5	O00180
Q24009	O00182
Q9VHH1	O00186
Q9W1F2	O00189
Q9VTY5	O00192
Q7KVQ0	O00193
Q8INT6	O00203
Q9VBZ0	O00204
Q9V490	O00212
Q9V521	O00213
Q9VQ94	O00214
Q9VIF2	O00217
Q9VXP3	O00220
Q9VHP9	O00231
P25008	O00232
Q6IG37	O00233
Q9W3W8	O00255
Q9V3L8	O00257
Q7K2V9	O00258
Q9W3Z4	O00264
Q9VCQ7	O00267
Q9VQ57	O00268
O76912	O00273
Q9VC42	O00291
Q9VGH0	O00295
Q9W1V3	O00299
Q9VK23	O00303
P29742	O00308
Q9VT61	O00311
Q00168	O00322
Q9VJ95	O00327
Q8SYC1	O00330
Q9VCY3	O00339
Q9VX56	O00358
Q7KSQ0	O00391
Q8T0V8	O00398
Q9VSS9	O00399
Q9W3X8	O00400
Q9VS98	O00401
A0A384TPA0	O00408
Q8T970	O00409
P45437	O00410
Q9V4Q8	O00411
Q9VPX8	O00418
O77260	O00422
P35415	O00425
Q9VLR9	O00429
Q9N658	O00442
Q24151	O00443
Q2PE14	O00444
Q9VTW6	O00459
Q9VC65	O00461
Q9VVE3	O00462
Q9U1K8	O00463
Q960Q9	O00468
A8JNL9	O00469
Q9V406	O00471
Q9VUM3	O00479
Q7JW78	O00483
Q9W5A9	O00487
Q8SX44	O00488
P20241	O00499
Q8IME7	O00501
Q9VHG0	O00505
Q9VWG0	O00506
Q9V3Q7	O00507
B6UY61	O00515
Q9VHG6	O00526
Q9W1M7	O00534
Q9VWF2	O00541
Q9VP53	O00555
Q24062	O00560
P10627	O00566
Q7K0E3	O00567
P10035	O00571
Q9VCA2	O00585
Q8SYR5	O00590
Q9BKJ2	O00592
B7YZJ4	O00602
Q9VU93	O00623
Q8T007	O00625
Q4QQ81	O00626
Q9VEZ6	O00628
P32392	O00629
Q6Q7J0	O00635
Q9VY28	O00712
Q9W2X8	O00716
Q9VYZ8	O00743
A9YKE5	O00746
Q9VBM1	O00754
Q9VQP5	O00755
Q9XTK9	O00762
Q8MPP3	O00763
Q59DY5	O00764
Q7KS38	O00767
Q8SXJ4	O14492
Q9VJ49	O14493
Q9V3C8	O14497
Q9VDQ3	O14498
Q4V3S6	O14503
Q9VQM4	O14508
A0A0S0WGU5	O14519
Q9U622	O14520
Q9VG55	O14523
Q9V4C4	O14524
Q9VZ03	O14526
Q9VIB5	O14530
Q9VD22	O14531
Q03751	O14543
P22814	O14544
Q8MRQ9	O14545
Q7JQK6	O14548
Q9VL58	O14556
Q9VQA5	O14561
Q9VVA1	O14562
Q9VXW5	O14569
Q23989	O14576
Q24322	O14578
Q4V5W6	O14579
Q9VRB7	O14593
Q86P06	O14595
Q7JZY1	O14617
O76892	O14618
Q9VAZ2	O14625
Q9VBX8	O14628
Q5U0X8	O14633
Q9V8F5	O14639
Q9VX09	O14640
A1ZBG6	O14641
Q9VZC8	O14646
Q8IMP6	O14647
Q9VEQ2	O14653
Q9VV38	O14654
Q9VWE1	O14656
Q8IQF1	O14657
Q9VIQ6	O14662
Q9VGN4	O14672
Q9VBK7	O14678
Q9VXA5	O14681
Q9V4B2	O14686
P20007	O14715
Q9W3Y0	O14727
Q9W2U4	O14730
A1Z6U8	O14732
Q9VLX9	O14733
Q7KTW3	O14734
Q8SX40	O14735
Q24048	O14737
Q9VRQ2	O14744
P41900	O14745
Q9VL06	O14746
Q9W0G1	O14757
Q7JXV9	O14763
Q95SM8	O14770
Q9VLJ7	O14775
Q9XYU1	O14776
Q9W4M0	O14777
Q7K4C7	O14787
Q9V399	O14792
Q9VVF3	O14795
P20483	O14798
Q9W0I7	O14802
Q9W1E8	O14810
Q9VMI3	O14817
O61380	O14818
Q7Z2C4	O14828
Q9VYJ4	O14829
Q9VMK5	O14836
Q9VDK2	O14842
Q9U1H9	O14862
Q9VAK3	O14863
Q9W1C6	O14867
Q9U5L1	O14874
Q9VKW4	O14879
Q9V785	O14880
Q9VQ78	O14893
Q9VL28	O14907
Q9VKM0	O14908
Q9VLJ6	O14910
Q9VX34	O14917
Q9VGI6	O14920
P45843	O14925
Q7KU87	O14929
A0A0C4DHD7	O14931
Q94981	O14933
Q9XYZ6	O14939
Q9VWT7	O14949
P20385	O14950
Q58SL8	O14957
Q9VFR2	O14958
Q9VWQ2	O14964
Q9NFP5	O14965
A1Z8G3	O14966
Q9VWC8	O14967
Q9XZ12	O14972
Q9V411	O14974
Q9VN45	O14975
Q86MQ9	O14976
Q9VZP9	O14978
Q7KBL8	O14979
Q8INB9	O14980
F3YDF1	O14981
O76928	O14983
Q9VSA8	O15013
Q6NN22	O15014
Q9VYN4	O15015
Q9VJB0	O15016
Q9VC06	O15020
Q24276	O15027
Q8IMX8	O15031
Q9VWZ1	O15042
Q9VQY9	O15047
Q9VR69	O15049
Q8MZ03	O15054
Q9VPB4	O15055
Q95TU8	O15062
Q9VZ82	O15066
Q8T4C9	O15067
Q9V3P9	O15075
Q9VGQ1	O15078
Q02427	O15084
A8JNV1	O15085
Q9V3Q1	O15091
Q9VQF9	O15105
Q9W3U0	O15111
Q7JQF6	O15116
Q9VG58	O15118
Q0E8T6	O15119
O77086	O15120
Q9VD59	O15121
P25167	O15126
Q9W2K3	O15127
P83972	O15131
A1Z814	O15143
Q9VDT4	O15144
Q9VAT0	O15145
Q9VV58	O15151
Q9W1R3	O15155
Q6WV17	O15156
Q9VDI1	O15160
Q8MT02	O15162
Q9W289	O15164
Q7K332	O15165
Q9VSQ5	O15169
P49657	O15173
Q8IMQ7	O15182
Q9VBQ0	O15197
Q8SXC2	O15198
Q1LZ49	O15205
Q9VTY6	O15212
Q9VBV5	O15213
Q9VF73	O15218
Q7KTX8	O15226
Q9NIV1	O15228
Q9VXJ9	O15230
A1Z9L3	O15231
Q9NF31	O15234
Q7KUT8	O15235
Q9V4L4	O15239
Q8SXV1	O15244
Q8IRV6	O15254
Q9VHX3	O15255
P40793	O15258
Q9VZF3	O15260
Q8IQC1	O15265
Q9VDG1	O15269
P41964	O15270
Q9VWW1	O15273
Q0KHX7	O15287
Q8T3Y0	O15294
Q9W112	O15297
X2JD52	O15304
O76877	O15315
Q9VB28	O15321
Q9VKK3	O15342
Q7KU06	O15347
Q24320	O15350
A8JUV0	O15353
Q9VSM6	O15354
Q9VHG3	O15355
A0A0B4K707	O15357
Q9VQY7	O15360
Q9VZ44	O15371
Q9VK06	O15372
Q9VYK7	O15379
Q9W3A7	O15381
Q8IPT9	O15392
Q9VI10	O15393
P40797	O15397
Q9VZ27	O15400
Q9VA66	O15409
Q8IQC5	O15417
Q7KVK5	O15427
Q9W0H3	O15431
Q9VII5	O15432
Q9VHV9	O15439
Q9V3Y3	O15442
Q9V466	O15446
O61491	O15460
O16868	O15466
Q9VQL1	O15479
Q9VBS9	O15481
Q9VXY7	O15496
Q9VER6	O15498
B7Z016	O15499
Q9W2Q1	O15503
Q7JWU9	O15504
Q9VPY3	O15511
Q7K860	O15514
Q9VLZ1	O15516
Q8T0D9	O15523
Q9V8R9	O15524
A1Z763	O15525
Q24175	O15529
Q8MQJ8	O15530
Q9VLS0	O15533
Q9VJE4	O15534
Q9W1B9	O15541
Q9VD34	O15547
Q9VWA1	O15550
Q9VH64	O15552
Q9Y107	O15554
Q9VFC7	O43143
Q9VQK0	O43148
Q9VK46	O43149
A1Z7M8	O43156
Q27896	O43159
Q2PDQ9	O43164
Q9VT74	O43166
Q9VN88	O43167
Q9VJ26	O43169
Q9W4N8	O43172
Q9W0M7	O43175
Q9VTC2	O43181
Q9VJB6	O43184
Q9VRG8	O43186
Q6IJF3	O43187
Q9VQZ0	O43189
Q9VPR8	O43193
Q9VEF6	O43237
Q9VG05	O43240
Q94883	O43242
Q8MSS1	O43251
A1ZBC5	O43252
Q9VVW7	O43255
Q9VFH5	O43257
Q9VST0	O43264
Q9W3V1	O43278
Q9VPZ0	O43281
E1JHE3	O43283
Q6QU65	O43286
P40304	O43290
Q8MSY4	O43291
A1ZB64	O43292
Q9VF39	O43293
Q9VKE7	O43294
Q9VUE4	O43295
Q6NL44	O43296
Q9W0M5	O43298
Q9W5Q2	O43301
Q9VU34	O43303
Q9VAQ5	O43306
Q9W3U9	O43309
Q8IPT2	O43314
Q9XZU0	O43318
Q9W1T3	O43323
A0A0B4JCU2	O43324
Q961C8	O43347
Q9VDV2	O43353
Q9VCI7	O43379
P25439	O43390
Q23983	O43395
Q9VHR4	O43396
Q967S0	O43399
Q8SYW8	O43402
Q9W4R9	O43405
Q8T4A8	O43422
Q8SX06	O43426
Q7JMZ0	O43427
Q9VYC9	O43432
Q9W3X7	O43439
Q06849	O43447
Q9VIT3	O43463
Q9V7D2	O43464
Q9VS32	O43474
Q9I7J8	O43482
Q9V6U9	O43488
Q9U9Q4	O43491
A0A0B4KEZ3	O43493
O46100	O43502
Q9W3Q4	O43504
Q9V4S8	O43505
Q07407	O43513
O76895	O43516
Q9VN77	O43521
A0A0B4K675	O43524
Q7JQ02	O43529
A1Z6I7	O43542
Q9NHB0	O43557
O46099	O43559
P81909	O43561
Q9VCW5	O43567
Q9VAG4	O43583
Q95SN8	O43586
Q9V3Z4	O43592
Q9VVG0	O43593
Q9VP40	O43597
Q9VGW4	O43602
Q9VM75	O43609
Q9W0H9	O43612
A0A0B4KI55	O43614
Q8SYB8	O43615
Q9VL72	O43617
Q9VVV9	O43633
Q9VE19	O43638
Q86BJ3	O43639
Q7KRY7	O43653
Q9W2T3	O43657
Q9W2U7	O43660
P50887	O43663
P91622	O43670
Q9VKZ0	O43674
Q9VGV8	O43676
Q8IHE2	O43678
Q9VDE6	O43679
Q9VEB2	O43681
Q8SZY9	O43683
P22265	O43684
Q9VRI8	O43687
Q9W0X3	O43692
P84029	O43707
Q9VPE8	O43709
Q9VCR2	O43711
Q86NU8	O43715
Q9VL52	O43719
Q9VWA8	O43731
Q9W4Y8	O43741
E1JI78	O43747
Q9W5W6	O43752
Q59DZ4	O43759
Q9VS47	O43760
Q9VT14	O43763
Q9VTI6	O43765
P18168	O43768
Q9VVY4	O43772
Q03043	O43776
Q2PDV0	O43781
Q9VWB0	O43790
P46824	O43791
P11929	O43795
Q9VU71	O43805
Q9VJX7	O43808
Q9VLB7	O43809
Q7JR52	O43813
Q9VAZ1	O43815
O46054	O43818
Q00748	O43819
Q6IH48	O43822
Q0KHQ5	O43823
P40794	O43824
A1Z903	O43826
Q9VBC8	O43829
Q6JE78	O43837
Q5U154	O43847
Q9VJD8	O43852
Q9XZU7	O43865
M9PC41	O43889
Q7K084	O43896
Q7K137	O43900
A8JNM0	O43908
Q9VXK0	O43909
P28466	O43913
Q9W4I5	O43914
Q9VB89	O43915
Q4QQA7	O43918
Q8IPW3	O43920
Q9W4N6	O43921
Q9V968	O43924
A1Z7C7	O43929
P91926	O43930
Q9VZY7	O43933
P13496	O60216
Q9VYA1	O60218
Q8T8Y8	O60220
P13469	O60231
Q9VYV9	O60232
Q8SZG4	O60237
Q9VM54	O60238
Q9VPT2	O60243
Q9VTC1	O60244
Q9VG09	O60245
Q9VHN8	O60248
Q05913	O60256
M9PI68	O60259
Q24142	O60260
Q9VHS6	O60264
