Q8BR07	A0A087WUL8
P06909	A0A087WZ82
Q62209	A0A0A0MSL8
Q9CZC8	A0A0B4J1V8
Q5UBV8	A0A0B4J274
Q64739	A0A0B4J2D5
Q8K4P8	A0A1B0GTZ2
P61358	A0A8I5KQE6
Q64442	A0AV96
Q14AI6	A0AVF1
P49446	A0AVT1
Q9D710	A0FGR8
Q60649	A0JLT2
Q3TNU4	A0JNW5
Q3U3C9	A0JP26
Q8BY87	A0MZ66
E9Q9R9	A0PJW6
Q9ER35	A0PJX4
Q3UYK3	A0PK00
Q5Y5T3	A0PK05
P29533	A0PK11
Q80ZE3	A1A5C7
Q3U2S4	A1KXE4
Q9CWW7	A1L0T0
Q8BVW3	A1L188
Q8VCV1	A1L190
Q04857	A1L390
P35689	A1L443
Q60611	A1L4K1
Q7TRQ8	A1X283
P59997	A2A3K4
P97481	A2A3N6
Q8R3Q0	A2RRP1
Q8C176	A2RTX5
P16043	A2RU14
P34914	A2RU67
Q08048	A2VDJ0
Q60519	A3KMH1
Q7TNM2	A3KN83
Q9CY64	A4D1E9
Q8BGT1	A4D1S0
Q9WUN2	A5A3E0
Q61501	A5D8V6
Q8R1L4	A5D8V7
Q6DVA0	A5PL33
P35585	A5YKK6
Q7TT00	A6H8M9
Q3U145	A6NC98
F7A4A7	A6NDY0
Q6NVE8	A6NED2
Q99ML6	A6NEK1
Q9JIY5	A6NEM1
Q8CI70	A6NFI3
Q60948	A6NFQ2
Q8BP48	A6NHL2
Q3U2P1	A6NHR9
Q8BTG7	A6NI15
Q9D0P0	A6NI73
Q8K377	A6NIH7
O08791	A6NJ78
Q8CHT0	A6NK59
Q6PDZ2	A6NK89
Q8C092	A6NKD9
Q3UHD3	A6NKT7
Q05685	A6NLJ0
P97503	A6NLX3
Q8CD10	A6NM10
Q9CQA6	A6NMY6
Q7TQ07	A7E2F4
Q9CQE3	A7E2V4
Q80XC3	A7E2Y1
Q8K4L0	A7KAX9
Q91WD9	A7MCY6
Q8C7R7	A7MD48
Q8BMF3	A8CG34
Q99PV8	A8K0Z3
Q8JZY2	A8K2U0
Q8BGH2	A8K8V0
Q8VBV4	A8MQ03
Q9EPA7	A8MT33
Q8R1M2	A8MT70
Q80UG8	A8MTQ0
Q9D3B1	A8MV65
Q63810	A8MVS5
