Q12511	A0A087WUL8
P38179	A0A0A0MSL8
P47125	A0A0B4J1V8
P0CX83	A0A8I5KQE6
Q06149	A0AV96
Q12133	A0AVT1
P53274	A0FGR8
P40065	A0JLT2
Q08176	A0MZ66
P52871	A0PK00
Q02783	A0PK11
P40988	A1L0T0
Q04179	A1L390
Q12242	A1L4K1
P40204	A2A3N6
P53306	A2RU14
P0CE99	A2VDJ0
Q03263	A3KMH1
P0CX61	A4D1E9
P32906	A4D1S0
P36017	A5A3E0
P48439	A5D8V6
P08417	A5YKK6
P32474	A6NEM1
P38795	A6NHR9
P53230	A6NJ78
Q03080	A7KAX9
P40491	A8K0Z3
P32613	A8K2U0
P40851	A8K8V0
P04840	A8MQ03
Q12202	A8MV65
P40342	A8MVS5
P53975	B2RTY4
Q08990	B2RUZ4
P53905	B2RXH8
P0CZ17	B5ME19
P40532	B7ZAP0
P36117	B7ZAQ6
P32862	B9A064
P40531	C0HLS1
P47128	E9PAV3
P05756	F7VJQ1
Q12458	O00116
Q12102	O00139
P38809	O00148
P32047	O00154
Q99257	O00159
P47115	O00161
P07246	O00165
P06783	O00167
Q06340	O00170
P40441	O00180
P0CE68	O00182
P27351	O00203
P36775	O00212
P53009	O00213
P38823	O00214
P11747	O00217
Q08904	O00220
P39076	O00231
P38088	O00232
P00812	O00233
P04147	O00255
P31376	O00257
P42943	O00264
Q04437	O00267
P32607	O00268
P35725	O00299
P43535	O00303
P04912	O00308
Q06143	O00311
P38694	O00322
P38216	O00327
P36026	O00330
P42833	O00339
P31111	O00358
Q2V2Q3	O00391
Q04562	O00398
Q07843	O00400
P07266	O00401
P36039	O00408
Q07381	O00410
P10127	O00411
Q12236	O00422
P0C2H6	O00425
P34077	O00429
P25373	O00443
P14064	O00444
P32356	O00459
P0CX72	O00461
Q04018	O00462
P50276	O00468
P43132	O00469
P38288	O00471
P42826	O00479
P33338	O00483
Q12446	O00487
O13563	O00505
P40549	O00506
P18961	O00526
P47141	O00541
P53584	O00555
P33302	O00560
P22134	O00566
P32495	O00567
P33892	O00571
P25383	O00590
P53257	O00625
P32353	O00629
P43579	O00743
P28273	O00746
P38253	O00762
P14737	O00767
Q04895	O14493
Q02521	O14497
Q08986	O14498
P32844	O14503
P38211	O14508
P40095	O14519
P47146	O14523
P39542	O14524
P48525	O14530
P53139	O14544
Q12310	O14556
P38260	O14561
Q08490	O14578
P53550	O14579
Q12016	O14593
P53082	O14595
Q08622	O14617
Q04412	O14633
Q03305	O14639
Q06410	O14641
Q12052	O14653
P38922	O14654
Q3E818	O14672
P19812	O14733
P32807	O14735
P23301	O14744
P22149	O14745
P40445	O14746
Q03780	O14757
P41544	O14763
Q12342	O14770
Q12324	O14776
P53840	O14777
Q04175	O14787
P40045	O14798
P40032	O14802
Q03558	O14818
Q08231	O14828
P06700	O14842
P15315	O14862
P0CX63	O14867
P34222	O14874
P53739	O14880
Q12110	O14893
P47040	O14908
Q04336	O14920
P06100	O14929
P25302	O14931
P38285	O14933
P08536	O14939
P26343	O14949
Q03162	O14950
P32332	O14964
P00925	O14965
P21825	O14967
P38720	O14974
Q08968	O14975
P38114	O14976
Q05515	O14978
Q06630	O14979
P31539	O14980
P16664	O14981
P32462	O14983
P26755	O15016
P52489	O15020
P38915	O15027
Q02457	O15031
P40498	O15042
Q12224	O15047
Q12156	O15067
