P32368	A0A061ACG4
P40549	A0A061ACG9
P32323	A0A061ACS6
P08524	A0A061ACU6
P21374	A0A061ACW5
Q08548	A0A061ADT4
P53228	A0A061AE46
P14065	A0A061AIT4
P36095	A0A061AJC4
Q08975	A0A078BPI8
Q03579	A0A078BS22
P25333	A0A078BS36
P53158	A0A0K3AQR2
P47143	A0A0K3AR51
P22135	A0A0K3AR81
P38855	A0A0K3ARI1
P39014	A0A0K3ARN3
P25565	A0A0K3ARX5
P53940	A0A0K3AS36
Q3E6R5	A0A0K3ASF2
P18544	A0A0K3ASN4
P38934	A0A0K3AU49
P38356	A0A0K3AUF2
P53260	A0A0K3AUF6
Q06504	A0A0K3AUJ9
P39875	A0A0K3AV08
Q08990	A0A0K3AVB7
P39956	A0A0K3AVF6
P47052	A0A0K3AVJ9
P32837	A0A0K3AVN7
P43610	A0A0K3AW48
P07807	A0A0K3AW57
O14464	A0A0K3AWP8
Q06822	A0A0K3AWR8
P02309	A0A0K3AWU4
Q03944	A0A0K3AWU9
P50077	A0A0K3AX46
P47145	A0A0K3AX65
Q99248	A0A0K3AXD0
P32902	A0A0K3AXF6
P32915	A0A0K3AXH1
P25616	A0A0M7RDW0
Q12091	A0A0M7RDX3
Q08952	A0A0M9JJE0
P07248	A0A0S4XRB1
P32806	A0A0S4XRJ2
P32328	A0A131MAV3
P22148	A0A131MBB2
P41806	A0A131MBE3
P06208	A0A131MBP2
Q08964	A0A131MBU3
P38042	A0A131MCF2
P29496	A0A131MCL1
P36100	A0A131MCP7
P32607	A0A131MCR4
Q05029	A0A131MD77
P47114	A0A164D3L1
P40452	A0A168H1X0
P54003	A0A168H2Z9
P43581	A0A168H5K4
P25659	A0A168H5N7
P48527	A0A168H651
Q06833	A0A168H9W7
P38995	A0A168HAJ0
P04801	A0A1C3NSL9
Q12288	A0A1D3PD01
Q06672	A0A1I6CM90
P19881	A0A1I6CMC9
P53734	A0A1N7SYW5
P39927	A0A1T5HUK0
P53222	A0A1T5HUK8
P53739	A0A1X7RBR0
P32854	A0A1X7RC60
Q3E806	A0A1X7RC97
P32599	A0A2C9C2L0
P22214	A0A2C9C2L6
Q02651	A0A2C9C2Z6
Q03002	A0A2C9C357
P42833	A0A2C9C377
Q06549	A0A2C9C3B6
P0C155	A0A2C9C3E2
P01098	A0A2C9C3I4
P40092	A0A2I2LG32
P32480	A0A2K5ATM2
Q12497	A0A2K5ATP7
P46984	A0A2K5ATP9
P43601	A0A2K5ATS7
P53630	A0A2K5AU25
P09436	A0A3B1DQX2
P32345	A0A3B1DR57
P00420	A0A3B1E3S9
Q02724	A0A3B1E4Z6
P32453	A0A3P6N624
P31376	A0A3P6N6A0
Q03937	A0A3P6N6A5
Q3E739	A0A3P6P940
P43497	A0A3P6PCS5
Q92331	A0A486WV45
P29539	A0A486WV52
Q08231	A0A486WV95
P38277	A0A486WVA9
P27882	A0A486WVT5
P38299	A0A486WWJ9
P38806	A0A486WX07
P52286	A0A486WXA8
P28625	A0A486WXA9
P25502	A0A486WXG9
P48363	A0A486WXR6
Q04670	A0A486WY26
Q02725	A0A486WY88
P11655	A0A4V0III5
P22517	A0A4V0IJR4
Q02606	A0A4V0IJY6
P38795	A0A4V0IKA6
Q12066	A0A4V0IKG6
P25577	A0A4V0IKJ4
P28789	A0A4V0ILP0
P53301	A0A4V0INB3
P0C2I8	A0A4V0INN2
P54785	A0A4V0INQ1
Q08985	A0A4V6M3D2
P06775	A0A4V6M500
P53236	A0A5E4LWV7
P39685	A0A5E4LXR0
Q12280	A0A5E4M3Q4
P23394	A0A5K1IAD3
P23369	A0A5S9MMK5
P38998	A0A5S9MND1
P20435	A0A650C2J5
P38344	A0A7I9BCB0
P24004	A0A7R9SUK8
P53868	A0A7R9SUL6
Q02046	A0A7R9SV91
Q03660	A0A7R9SW82
P36130	A0A7R9XN27
P38317	A0A8D9I604
P45819	A0A8D9IN58
