Q93553	A0A087WNU1
Q9XW01	A0A087WPF7
Q8T3A5	A0A0A6YVU8
Q23552	A0A0A6YW67
P91055	A0A0A6YXJ8
G3MU50	A0A0G2JEG2
G5EGN3	A0A0G2JEY4
B2FD95	A0A0R4J076
O17388	A0A140LIF8
O17851	A0A141CM29
O45782	A0A1L1SSF8
O44887	A0A1W2P6K1
G5EEA1	A0A1W2P872
G5EDW7	A0A1W2P8C4
O16316	A0A1Y7VLG8
G5EE11	A0A1Y7VNI1
Q86G91	A0A286YCP2
O45503	A0A286YD08
O62215	A0A286YD28
Q95YD1	A0A286YD57
Q21883	A0A2I3BRY0
G5EDP6	A0A338P6K9
G5EE32	A0A6I8MWY4
P90787	A0JLY1
Q23579	A1A535
O45731	A1A5B6
O16274	A1EGX6
Q2A956	A1L314
O62112	A1L317
O45177	A1L358
O62342	A1L3P4
O44955	A2A432
Q9U294	A2A4P0
Q9BL57	A2A559
O18235	A2A5R2
O61799	A2A5Z6
Q8IG67	A2A690
P45967	A2A699
Q9N566	A2A6A1
C0Z3L6	A2A6M5
Q9N4U2	A2A6Q5
G5EEK5	A2A791
Q19342	A2A7Y5
Q9XX25	A2A863
Q09439	A2A870
Q9U1Z4	A2A8L1
Q17390	A2A8L5
G5EF51	A2A8U2
P34307	A2A8Z1
A0A0K3AW57	A2A9C3
O16602	A2A9R3
Q9NAP8	A2A9T0
Q9XV95	A2AAE1
Q9N3B9	A2AAJ9
Q22206	A2AAY5
O17559	A2ABU4
O45320	A2ABV5
G5EGF5	A2ADA5
O45522	A2ADY9
G5EE68	A2AF47
Q9U1Z9	A2AG06
Q9U7E0	A2AG50
Q10914	A2AGH6
P34445	A2AGL3
P90978	A2AGT5
Q9XX97	A2AH22
G5EGF0	A2AHC3
Q23307	A2AHG0
Q19542	A2AHJ4
G5EFM9	A2AHL1
Q9U1X6	A2AI05
Q18316	A2AIE7
O62461	A2AIL4
Q21554	A2AIV2
Q23525	A2AIV8
O17112	A2AJ15
Q20870	A2AJ76
Q9XTY3	A2AJ88
H9G2U2	A2AJA9
Q9BL94	A2AJI0
Q11067	A2AJK6
Q95ZL3	A2AJQ3
Q9U1Q9	A2AJX4
Q9U285	A2AKQ8
G5EFF8	A2AKX3
A2V8C3	A2AKY4
Q9XUU8	A2AL36
Q9U2I0	A2ALK8
Q1HB02	A2ALS5
Q23146	A2ALU4
Q9N3Y9	A2AM29
G5EDE8	A2AN08
Q10124	A2ANN7
Q95ZS0	A2APA5
O62138	A2APB8
G5ED84	A2APF3
Q94050	A2APV2
Q20628	A2APX8
Q18864	A2AQ07
P48996	A2AQ19
O17643	A2AQ25
Q86MJ6	A2AQH4
Q95XK0	A2AQW0
P91305	A2AR02
Q18173	A2ARA8
Q20936	A2ARK0
G5EG58	A2ARP1
Q9U3F8	A2ARV4
Q95QZ9	A2ARZ3
Q19452	A2ASI5
G5ECH5	A2ASQ1
O45712	A2ASS6
Q21916	A2AUC9
O44532	A2AUM9
O76632	A2AWA9
Q9XUB2	A2AWL7
Q6A575	A2AX52
H2L266	A2BE28
O45734	A2BH40
Q9XW17	A2CG49
P28191	A2CG63
P05634	A2NV19
Q9BIB4	A2RRY8
O17271	A2RSJ4
Q19129	A2RSQ0
Q9XVA4	A2RSY1
P34654	A2RSY6
Q8WT44	A2RT62
O76725	A2RT67
P91233	A2RTF1
G5EG51	A2RTL5
O45705	A3KFM7
Q9U3S3	A3KGB4
O02203	A3KGF7
Q22018	A3KGS3
Q7YWT8	A3KGV1
Q9XXT5	A3KGW5
Q19059	A6H5Y3
Q22543	A6H611
P34610	A6H648
Q17944	A6H6A9
A3QMC8	A6H6T1
Q95ZI6	A6H8H2
G5EDA8	A6H8H5
O45387	A6PWY4
O45367	A6X935
G5EEE7	A6X942
O16466	A7UAK8
B9DF69	A7XUY5
Q21308	A8C756
G4XR33	A8DUK4
O45536	A9Z1V5
Q7JP86	B0V2N1
Q19122	B1AQ75
Q18676	B1AR13
Q11191	B1AUH1
Q23144	B1AUR6
O18141	B1AVY7
Q18612	B1AWL2
P92005	B1AWN6
O62325	B1AX39
Q19519	B1AY10
Q5TYK5	B1AY13
Q9U213	B1AZI6
Q4W5P0	B1AZP2
Q17459	B2RPV6
O17405	B2RQA7
Q17624	B2RQC2
Q18258	B2RQE8
Q18494	B2RQG2
Q3V5J2	B2RQR8
L8E712	B2RR24
Q18245	B2RR83
Q18393	B2RRD7
H2KY91	B2RRE4
Q9XUH7	B2RRE7
Q9U2Y6	B2RRF6
Q9U1W8	B2RSH2
Q7YTM2	B2RU80
P91093	B2RUJ5
Q27476	B2RUR8
O61900	B2RWS6
Q22095	B2RX14
O45664	B2RX88
Q965R9	B2RXB2
Q21774	B2RXC5
B7CED8	B2RXQ2
Q09215	B2RXR6
Q22756	B2RXS4
G5EDJ4	B2RXT3
P91013	B2RXX5
Q7YXB6	B2RY04
Q9XWM1	B2RY56
P83351	B5KM66
O45923	B5TVM2
O16786	B7ZMP1
O44498	B7ZN02
Q20797	B7ZNG0
G5EDT8	B7ZNG4
O18696	B8QI36
Q22811	B8ZXI1
A5JYU7	B9EHI3
O16538	B9EJ54
