A0APW9	A0A075B5T3
P91891	A0A075B5V7
Q9VIT6	A0A087WNU1
P42207	A0A087WPF7
Q9VJ23	A0A087WR51
A2VEV6	A0A088MLT8
Q9W0Y1	A0A0A6YVU8
Q9V9T0	A0A0A6YW67
Q7K4Q5	A0A0A6YXJ8
Q9VTM5	A0A0B4J1I9
Q9VL25	A0A0G2JEG2
Q9GYV9	A0A0G2JEY4
Q9VYN4	A0A0N4SUV0
Q9VRG5	A0A0R4J076
Q6AWQ4	A0A0U1RPA7
Q95U54	A0A140LIF8
Q00G30	A0A140T8M2
Q8SWX8	A0A140T8P9
Q9W0T5	A0A140T8Q4
Q8SZG4	A0A141CM29
Q6NL34	A0A1B0GRG8
Q9W242	A0A1D5RLD8
Q9VG13	A0A1L1SSF8
A0A0B4K653	A0A1W2P6K1
Q9VPN2	A0A1W2P872
Q9VMX4	A0A1W2P8C4
Q9VIH7	A0A1Y7VLG8
Q9VBQ6	A0A1Y7VNI1
Q7JUF2	A0A286YCP2
Q7YU60	A0A286YD08
Q9VVG9	A0A286YD28
Q9VG19	A0A286YD57
Q9VEJ0	A0A2I3BQX1
Q24591	A0A2I3BRY0
F9VMG5	A0A338P6K9
E1JIZ7	A0A494BAH8
Q7K4M4	A0A6I8MWY4
Q8MKJ9	A0AUP1
A8JV22	A0JLY1
Q7JXG2	A0S860
Q9V4I1	A1A535
Q9VXV1	A1A5B6
Q9VZR5	A1EGX6
Q9VG97	A1L314
Q7K581	A1L317
Q9VPX5	A1L358
Q9VB29	A1L3P4
P42003	A2A432
O76932	A2A4P0
Q9VRS0	A2A559
Q9VN75	A2A5N8
Q9VA25	A2A5R2
Q7K0L5	A2A5Z6
Q9V3Q4	A2A690
Q9VK01	A2A699
Q9VEN3	A2A6A1
Q9VLP6	A2A6M5
Q7JVK1	A2A6Q5
Q9VTQ3	A2A761
Q9VXW7	A2A791
A0A0B4KEU9	A2A7S8
A1ZBC8	A2A7Y5
Q9W4R3	A2A863
Q9VMC7	A2A870
Q9VXQ6	A2A884
P91664	A2A8L1
A1ZBD8	A2A8L5
Q9VJD6	A2A8U2
O77459	A2A8Z1
Q8IQD9	A2A9C3
Q7KVC9	A2A9R3
Q7KN99	A2A9T0
Q9VSS7	A2AAE1
Q9VU29	A2AAJ9
Q9VV48	A2AAY5
Q9VKJ6	A2ABU4
I0E2I4	A2ABV5
P39205	A2ADA5
P24350	A2ADY9
Q9VBA2	A2AEY4
Q9VV61	A2AF35
Q7K4N3	A2AF47
P42279	A2AFR3
Q9VL10	A2AG06
P47980	A2AG50
