Q09390	A0A087WUL8
O01496	A0A0A0MSL8
Q9XW38	A0A0B4J1V8
Q9XX03	A0A0B4J274
Q23237	A0A8I5KQE6
O45166	A0AV96
O18172	A0AVF1
Q9N5G3	A0AVT1
O62198	A0FGR8
O17974	A0JLT2
Q22875	A0MZ66
P91129	A0PJW6
P90884	A0PK00
O44657	A0PK11
Q20665	A1KXE4
Q9TYV5	A1L0T0
Q9U3P5	A1L190
Q20048	A1L390
A4F318	A1L4K1
Q9N2V5	A2A3K4
Q18556	A2A3N6
Q9XWD4	A2RRP1
Q966H7	A2RTX5
Q19127	A2RU14
A0A0K3AV48	A2RU67
Q9XX38	A2VDJ0
Q9U2M5	A3KMH1
H2KZ49	A3KN83
A0A1X7RC32	A4D1E9
Q20179	A4D1S0
P45972	A5A3E0
O01601	A5D8V6
O16297	A5YKK6
O44410	A6H8M9
O17346	A6NED2
G5EEX7	A6NEM1
Q20480	A6NHL2
Q21939	A6NHR9
Q3Y400	A6NJ78
O16689	A6NK59
O16924	A6NK89
H2KYU3	A6NKD9
Q7Z1Q3	A6NLJ0
P91437	A6NLX3
Q10917	A6NMY6
Q9TZA9	A7E2V4
Q95YE9	A7E2Y1
Q21268	A7KAX9
O45197	A8CG34
Q20344	A8K0Z3
G5EFF5	A8K2U0
Q1ZXT7	A8K8V0
O45539	A8MQ03
Q18277	A8MV65
P34260	A8MVS5
D3YT72	A8MVW0
O01925	A8MW92
Q95XC4	A8MXV4
Q95ZS1	A8MZ59
Q95ZT6	B2RNN3
Q95QY7	B2RTY4
G5EDV1	B2RUZ4
Q8IFZ2	B2RXF5
P41828	B2RXH8
Q17978	B5ME19
G5ED64	B7ZAP0
P34284	B7ZAQ6
H2KYG4	B9A064
F1LIM5	C0HLS1
P50444	C0HLU2
P41937	E9PAV3
H2KYR7	E9PS38
P09446	F7VJQ1
Q966L3	H7C0V5
Q9N5D3	O00116
P41884	O00124
O18178	O00139
Q86D09	O00141
Q6I6D4	O00148
P90787	O00151
O18697	O00154
Q23089	O00159
Q7JLH5	O00161
P90731	O00165
Q965Z4	O00167
Q94051	O00170
O17036	O00178
Q20420	O00180
Q19182	O00182
P91047	O00186
A0A9S7	O00193
Q8I7L5	O00203
Q19553	O00204
Q9XW17	O00212
O44768	O00213
P91246	O00214
Q17435	O00217
G5ECW3	O00220
Q9UAY9	O00231
Q9UAQ6	O00232
Q9U2F5	O00233
P49196	O00255
A0A1N7SYW5	O00257
Q9U1Y9	O00258
Q18033	O00264
P34383	O00267
A0A131MCR4	O00268
B9DF69	O00273
Q9TZA5	O00291
Q21004	O00299
Q9N4H7	O00303
O02639	O00308
Q19585	O00311
O44743	O00322
Q9XWF2	O00327
Q93781	O00330
Q9U3N4	O00339
Q19807	O00358
D3YT44	O00391
Q9N4S0	O00398
Q19833	O00399
O17891	O00400
Q19987	O00401
Q95X36	O00408
Q9XXD2	O00409
Q20168	O00410
G5EGM4	O00411
Q20049	O00422
Q17698	O00425
Q86S29	O00429
Q18074	O00442
Q19520	O00443
Q21369	O00444
O45599	O00459
G5EE16	O00461
P32740	O00462
Q9N430	O00463
Q27395	O00468
Q20716	O00469
G5EGT6	O00471
F5GUD1	O00479
G5EC35	O00483
O61521	O00487
Q9XV58	O00488
G5ED63	O00499
Q9TW45	O00505
Q19265	O00506
O16243	O00526
P35800	O00534
Q9XWM1	O00541
Q18438	O00555
Q95017	O00560
O62349	O00566
O02273	O00567
P34815	O00571
Q4R120	O00585
Q9XWN3	O00590
Q23220	O00592
Q17863	O00625
P91283	O00629
Q9GZH3	O00743
G5EET2	O00746
Q1ZXU9	O00754
Q21368	O00762
G5EC21	O00763
Q8MPX3	O00767
Q18339	O14493
Q86PJ4	O14497
Q19090	O14498
Q22696	O14503
Q19683	O14508
Q965K3	O14519
Q9GRU8	O14520
I6Z0I7	O14523
Q23100	O14524
O45659	O14526
Q95Q98	O14530
Q18156	O14531
Q21308	O14543
H2KZW0	O14544
G5EFA8	O14545
Q9XWR0	O14548
Q19932	O14556
P54244	O14561
Q18934	O14576
G5ECY0	O14578
Q19774	O14579
Q9N580	O14593
O16536	O14595
G5EG14	O14617
Q9U1Q5	O14628
B1V8I7	O14633
G5EFE6	O14639
O17157	O14640
Q95QC4	O14641
P91155	O14646
O16271	O14647
Q23031	O14653
V6CLR1	O14654
Q95ZS0	O14656
Q9XX98	O14657
Q9N3W2	O14662
Q9U1Q6	O14672
Q20803	O14681
Q22648	O14686
O44669	O14715
A0A0K3ARX8	O14727
Q18065	O14730
F5GUE5	O14732
Q09486	O14733
P91494	O14735
Q8MNV7	O14737
Q95X44	O14744
Q21209	O14745
O45146	O14746
O62512	O14757
Q1HAZ8	O14763
N1NV13	O14770
A0A3B1DR57	O14776
Q18318	O14777
Q09509	O14787
Q9XW93	O14798
Q9XTY6	O14802
Q86FN6	O14817
O44175	O14818
P30630	O14828
P91055	O14829
Q18534	O14842
Q17491	O14862
Q65ZG8	O14867
P90788	O14874
O17065	O14879
Q22886	O14880
Q22417	O14893
