P04039	A0A075BJP4
P40558	A0A0B4JCU2
P0CZ17	A0A0B4JCV9
Q08235	A0A0B4JCW4
P39711	A0A0B4JCW7
P53944	A0A0B4JCY2
Q3E813	A0A0B4JDB5
P41318	A0A0B4JDC8
P32784	A0A0B4JDF8
P32388	A0A0B4K605
Q3E7Y6	A0A0B4K680
P49017	A0A0B4K6S1
P31688	A0A0B4K6T4
P40359	A0A0B4K6T8
P40071	A0A0B4K6W2
Q12129	A0A0B4K6Z5
P38283	A0A0B4K707
P36146	A0A0B4K721
P38927	A0A0B4K785
Q3E7Y8	A0A0B4K7E1
Q06218	A0A0B4K7J2
P22943	A0A0B4K7N0
Q01852	A0A0B4K7Y4
P11353	A0A0B4K869
P39013	A0A0B4KEE4
P26188	A0A0B4KEZ3
P53274	A0A0B4KFD1
P53272	A0A0B4KFH6
Q03855	A0A0B4KGC5
P48445	A0A0B4KGY6
P11792	A0A0B4KHJ5
P38356	A0A0B4KI17
P38958	A0A0B4KI48
P40006	A0A0B4LEH4
Q06177	A0A0B4LEV7
P43568	A0A0B4LEX2
P36102	A0A0B4LEZ1
Q04364	A0A0B4LFI9
P38358	A0A0B4LG16
P46681	A0A0B4LG74
P40081	A0A0B4LG85
P00560	A0A0B4LGD0
Q03795	A0A0B4LGK5
P38222	A0A0B4LGV1
P39104	A0A0C4DHD7
P28584	A0A0C4DHN4
Q07532	A0A0C4FEI5
P18962	A0A0F6QCQ6
P53127	A0A0S0WGU5
P89113	A0A0S0WNE9
P41815	A0A0U2KHS7
P53293	A0A384TPA0
Q12206	A0A3Q7YJG5
Q02608	A0A3Q7YSP8
P04821	A0A4P1SAA7
Q03667	A0A6F7UCJ3
P39715	A0AQH0
P38742	A0AVV3
P15624	A0ZWM5
P39988	A1A6N4
Q07938	A1A6X5
P54005	A1A701
Q08977	A1A708
Q12020	A1A714
Q12262	A1XXK2
P48353	A1YK02
P40327	A1Z6E0
P25558	A1Z6E8
Q03016	A1Z6H4
P53743	A1Z6H7
P53053	A1Z6H9
P32463	A1Z6I7
P0CF17	A1Z6J6
P40414	A1Z6K2
Q03900	A1Z6L9
P36033	A1Z6M0
Q12745	A1Z6M6
Q8TGU5	A1Z6R4
P39734	A1Z6S1
P36154	A1Z6S7
Q12500	A1Z6V5
Q12300	A1Z6W5
Q03233	A1Z6W6
P40011	A1Z6X6
P25386	A1Z6Z7
P46672	A1Z700
Q12443	A1Z714
Q12248	A1Z718
P53741	A1Z729
P40515	A1Z745
Q3E795	A1Z791
P38287	A1Z7A5
P33202	A1Z7A6
P39996	A1Z7A8
P54199	A1Z7C1
P53857	A1Z7C7
P35196	A1Z7G6
D6VTK4	A1Z7H5
P36084	A1Z7J1
P40986	A1Z7K2
Q01476	A1Z7K8
Q99260	A1Z7K9
P25380	A1Z7L0
P53832	A1Z7L1
P29509	A1Z7L5
P53836	A1Z7M0
P18480	A1Z7M3
P38790	A1Z7M8
Q04461	A1Z7N6
P07286	A1Z7N9
P38341	A1Z7Q8
P36106	A1Z7S0
Q99234	A1Z7S1
P38090	A1Z7S7
P32573	A1Z7T0
Q02795	A1Z7V1
P33550	A1Z7W3
P53076	A1Z813
P47822	A1Z814
P25361	A1Z823
Q03799	A1Z850
Q12204	A1Z877
P24521	A1Z893
P20457	A1Z898
Q12286	A1Z8B1
P24871	A1Z8B5
Q05043	A1Z8C0
P33335	A1Z8D5
Q9URQ3	A1Z8H0
P0CF34	A1Z8H1
P36132	A1Z8H7
Q08361	A1Z8I0
P36152	A1Z8I5
P36116	A1Z8I9
P38147	A1Z8L7
Q04869	A1Z8P9
O13547	A1Z8R0
P53719	A1Z8S6
P18888	A1Z8U0
P17505	A1Z8V2
P40971	A1Z8V7
P40029	A1Z8W3
Q12218	A1Z8X3
P43548	A1Z8Y4
Q3E747	A1Z8Z3
P38848	A1Z8Z7
P47143	A1Z8Z8
P00447	A1Z909
P47069	A1Z920
P21242	A1Z927
Q01589	A1Z933
Q04214	A1Z992
Q04212	A1Z995
Q12473	A1Z9B0
Q99287	A1Z9E2
P41056	A1Z9E3
P43574	A1Z9G1
P36421	A1Z9G2
Q08579	A1Z9G7
P38115	A1Z9I0
P39993	A1Z9I5
P0CX11	A1Z9I6
P14741	A1Z9K0
P16965	A1Z9K8
P21705	A1Z9L0
P25357	A1Z9M2
P21264	A1Z9P3
Q12092	A1Z9R4
Q12136	A1Z9S1
P38836	A1Z9S5
P53871	A1Z9S8
P25693	A1Z9U0
P36060	A1Z9X0
P40317	A1Z9Z9
P40014	A1ZA03
P42940	A1ZA08
P32454	A1ZA28
P28006	A1ZA77
P20449	A1ZA92
P0C5R9	A1ZA98
P21651	A1ZAC2
P43609	A1ZAC8
Q05131	A1ZAD2
Q03705	A1ZAH1
Q06178	A1ZAH3
P36105	A1ZAH8
P0C2I4	A1ZAI3
Q05648	A1ZAI5
P39000	A1ZAI8
P40572	A1ZAJ5
P06115	A1ZAK1
P0C2H7	A1ZAK7
P16550	A1ZAL7
