Q9XVJ5	A0A075BJJ9
P90884	A0A075BJP4
Q7K755	A0A0B4JCU2
P34592	A0A0B4JCV9
O01542	A0A0B4JCW4
Q09654	A0A0B4JCW7
Q93379	A0A0B4JCY2
D0VWM4	A0A0B4JDB5
P91917	A0A0B4JDC8
O17070	A0A0B4JDD7
Q22459	A0A0B4JDF8
Q01608	A0A0B4K605
A0A8S5IA68	A0A0B4K653
Q18709	A0A0B4K675
O45291	A0A0B4K680
Q9XUC4	A0A0B4K686
P34492	A0A0B4K692
Q9XUT6	A0A0B4K6G0
Q9TXQ1	A0A0B4K6S1
O18015	A0A0B4K6T4
B6EU65	A0A0B4K6T8
Q19988	A0A0B4K6W2
Q09936	A0A0B4K6Z5
Q9BHK7	A0A0B4K707
P18947	A0A0B4K721
Q22949	A0A0B4K759
O45177	A0A0B4K785
Q93566	A0A0B4K7B6
Q95ZW7	A0A0B4K7E1
P90848	A0A0B4K7I7
Q19087	A0A0B4K7J2
Q8MXD9	A0A0B4K7N0
Q21740	A0A0B4K7Y4
Q21168	A0A0B4K840
Q17522	A0A0B4K869
Q21986	A0A0B4KEE4
O45829	A0A0B4KEL5
O45201	A0A0B4KEW8
Q19672	A0A0B4KEZ3
O45313	A0A0B4KFD1
Q9N5N3	A0A0B4KFG0
P91340	A0A0B4KFH6
Q93352	A0A0B4KGC5
G5EBG4	A0A0B4KGY6
O17787	A0A0B4KH20
P51559	A0A0B4KH86
Q09562	A0A0B4KHJ4
P50305	A0A0B4KHJ5
Q9XXC3	A0A0B4KI17
Q18161	A0A0B4KI23
O18152	A0A0B4KI48
Q10040	A0A0B4LEH4
P34482	A0A0B4LEV7
C9IY37	A0A0B4LEX2
Q86FM3	A0A0B4LEX9
O62079	A0A0B4LEZ1
A0A164D3B2	A0A0B4LF41
A0A8D9IN58	A0A0B4LFI9
Q93161	A0A0B4LG16
Q9GUM5	A0A0B4LG74
Q21446	A0A0B4LG85
P50140	A0A0B4LGD0
P34555	A0A0B4LGK5
Q23022	A0A0B4LGV1
Q93290	A0A0B7P9G0
Q9TZ63	A0A0C4DHB3
G5EF82	A0A0C4DHD7
O44513	A0A0C4DHN4
Q27371	A0A0C4FEI5
O01299	A0A0F6QCQ6
O18068	A0A0S0WGU5
Q19617	A0A0S0WNE9
H9G301	A0A0U2KHS7
Q9GZD0	A0A126GUS1
Q21525	A0A126GV03
Q93380	A0A1B2AKX6
Q9XUG3	A0A1F4
Q95X36	A0A384TPA0
Q21939	A0A3Q7YJG5
Q9U1Z9	A0A3Q7YSE3
P41880	A0A3Q7YSJ3
Q9U296	A0A3Q7YSP8
G5EFU2	A0A4P1SA55
Q22798	A0A4P1SAA7
G5EGK1	A0A6F7UCJ3
O17927	A0APC8
Q86LS4	A0AQH0
O44556	A0AVV3
Q23664	A0ZWM5
Q18486	A1A6N4
Q22918	A1A6X5
P34446	A1A701
Q21180	A1A708
D0VWM8	A1A714
Q9N402	A1E5L3
Q17390	A1XXK2
Q23023	A1YK02
Q9TZ64	A1Z6E0
Q21763	A1Z6E8
O16501	A1Z6G6
A0A486WX65	A1Z6G9
O02073	A1Z6H0
O62055	A1Z6H4
O01590	A1Z6H7
Q10122	A1Z6H9
P02513	A1Z6I7
Q9GRY9	A1Z6J6
Q21481	A1Z6K2
Q7JP68	A1Z6K7
O16454	A1Z6L9
Q9U2C9	A1Z6M0
Q18685	A1Z6M6
O01959	A1Z6Q2
Q22075	A1Z6R4
Q09242	A1Z6R7
Q23179	A1Z6S1
Q6BER6	A1Z6S7
Q18074	A1Z6U3
U4PR75	A1Z6U8
Q22361	A1Z6V5
O62138	A1Z6W3
Q9XV36	A1Z6W5
Q9Y194	A1Z6W6
V6CJE7	A1Z6X6
Q9TZC4	A1Z6Z7
Q9TZ84	A1Z700
Q20520	A1Z705
Q23420	A1Z713
Q9UB28	A1Z714
Q23384	A1Z718
P49197	A1Z729
Q93714	A1Z745
Q95QN6	A1Z791
O17693	A1Z7A5
Q65ZB4	A1Z7A6
Q9BIC2	A1Z7A8
Q8MYM6	A1Z7C1
Q22047	A1Z7C7
O17750	A1Z7D6
Q23036	A1Z7G6
Q9NAF9	A1Z7H3
Q18033	A1Z7H5
O76368	A1Z7J0
O44445	A1Z7J1
Q23315	A1Z7K2
L8E938	A1Z7K8
Q18134	A1Z7K9
G5ECM1	A1Z7L0
G5EFJ4	A1Z7L1
Q95YA9	A1Z7L5
Q95QZ3	A1Z7M0
Q19760	A1Z7M3
K8ESB8	A1Z7M6
Q23342	A1Z7M8
Q8WQC0	A1Z7N6
O62160	A1Z7N9
O44502	A1Z7Q8
Q18869	A1Z7S0
P34254	A1Z7S1
B9WRU1	A1Z7S7
A0A168H651	A1Z7T0
G5EGJ8	A1Z7U5
G5EGK8	A1Z7V1
Q20314	A1Z7V9
Q93839	A1Z7W3
Q20689	A1Z7X7
Q20998	A1Z7Y7
Q21194	A1Z7Z8
Q9XWT6	A1Z802
A7LPF3	A1Z803
P20271	A1Z813
Q9GPA0	A1Z814
Q965H3	A1Z823
O16643	A1Z850
O62414	A1Z877
Q22029	A1Z892
Q9BIA4	A1Z893
Q9XWN2	A1Z897
Q9XXI4	A1Z898
G5EDA0	A1Z8B1
Q93968	A1Z8B5
Q9XVG7	A1Z8C0
Q9UAV3	A1Z8D0
P41941	A1Z8D5
Q8I7L0	A1Z8G2
Q9N4Z0	A1Z8G3
Q09165	A1Z8G6
Q09387	A1Z8H0
O62436	A1Z8H1
G5EE11	A1Z8H6
O02108	A1Z8H7
Q21593	A1Z8I0
Q18986	A1Z8I5
Q95Q17	A1Z8I9
Q5FC64	A1Z8L7
P91866	A1Z8N1
G5EDN8	A1Z8P9
G5ECZ3	A1Z8Q0
G5ECM9	A1Z8R0
G4SNP7	A1Z8R8
Q9N3S7	A1Z8S6
Q9BKP7	A1Z8T3
P46064	A1Z8T9
V6CJ20	A1Z8U0
Q9U3S9	A1Z8U7
G5EBF1	A1Z8V2
Q19064	A1Z8V7
O45526	A1Z8W3
Q19982	A1Z8X3
Q17784	A1Z8Y4
Q20177	A1Z8Z3
O01847	A1Z8Z7
G5EE09	A1Z8Z8
Q18572	A1Z8Z9
P34693	A1Z903
C1P636	A1Z909
O45548	A1Z917
O45666	A1Z920
Q23066	A1Z927
B1GRL4	A1Z933
O16924	A1Z934
P34522	A1Z949
Q9U2L6	A1Z971
O17615	A1Z979
Q19404	A1Z992
H1UBJ3	A1Z995
O01862	A1Z9A2
A0A8S4QAT5	A1Z9A8
G5ED81	A1Z9B0
Q20497	A1Z9E2
W6RXW2	A1Z9E3
Q11088	A1Z9E4
Q20683	A1Z9G1
Q20507	A1Z9G2
Q17821	A1Z9G7
H2L0S9	A1Z9H0
Q21462	A1Z9H7
Q18668	A1Z9I0
O45599	A1Z9I5
P34710	A1Z9I6
Q9XXS2	A1Z9J6
Q94010	A1Z9J8
P52717	A1Z9K0
G5EFW7	A1Z9K8
O02217	A1Z9L0
Q9XUJ7	A1Z9L3
Q93442	A1Z9M2
Q22585	A1Z9P3
O44664	A1Z9Q3
Q9NAE9	A1Z9R4
Q9Y048	A1Z9S1
O17525	A1Z9S3
Q22230	A1Z9S5
Q8MXJ7	A1Z9S8
O45149	A1Z9T6
Q20178	A1Z9U0
Q7JLB0	A1Z9X0
O62136	A1Z9Z9
O61766	A1ZA01
A7DTF0	A1ZA03
O45924	A1ZA08
O17024	A1ZA22
O16602	A1ZA23
G5EE80	A1ZA28
O17934	A1ZA77
P55955	A1ZA92
O45600	A1ZA98
P34654	A1ZAA9
Q19153	A1ZAB3
Q20945	A1ZAC2
Q6BET1	A1ZAC7
P46502	A1ZAC8
G5EDX5	A1ZAD2
Q22071	A1ZAE2
Q9U3R0	A1ZAG9
O02225	A1ZAH1
Q19615	A1ZAH3
P48156	A1ZAH8
G5EFZ3	A1ZAI3
O45707	A1ZAI5
G5EFE7	A1ZAI8
O76621	A1ZAJ2
Q09624	A1ZAJ5
Q9U1N6	A1ZAJ6
O76642	A1ZAK1
Q94126	A1ZAK7
Q9N366	A1ZAL4
O18158	A1ZAL7
O61936	A1ZAM0
Q8MYQ0	A1ZAN6
Q18286	A1ZAP0
O01616	A1ZAP1
Q18393	A1ZAQ6
Q9XUU5	A1ZAR2
Q09508	A1ZAS3
O45709	A1ZAT5
Q21963	A1ZAU4
Q03604	A1ZAU6
O62348	A1ZAU8
Q9XVP7	A1ZAV3
Q20775	A1ZAW0
Q2EEM4	A1ZAW3
O01513	A1ZAW5
Q17944	A1ZAW9
P53585	A1ZAX1
